path,width,height
/Users/Usuario/Code/master/tfm/res/dataset/lumos_x_541_670_dcm/lumos_x_656/lumos_x_656_1.Dcm,1838,3001
/Users/Usuario/Code/master/tfm/res/dataset/lumos_x_541_670_dcm/lumos_x_656/lumos_x_656_2.Dcm,2352,3001
/Users/Usuario/Code/master/tfm/res/dataset/lumos_x_541_670_dcm/lumos_x_669/lumos_x_669_1.Dcm,1764,2993
/Users/Usuario/Code/master/tfm/res/dataset/lumos_x_541_670_dcm/lumos_x_669/lumos_x_669_2.Dcm,1758,2981
/Users/Usuario/Code/master/tfm/res/dataset/lumos_x_541_670_dcm/lumos_x_651/lumos_x_651_1.Dcm,1152,2643
/Users/Usuario/Code/master/tfm/res/dataset/lumos_x_541_670_dcm/lumos_x_651/lumos_x_651_2.Dcm,1589,2409
/Users/Usuario/Code/master/tfm/res/dataset/lumos_x_541_670_dcm/lumos_x_667/lumos_x_667_1.Dcm,1772,2675
/Users/Usuario/Code/master/tfm/res/dataset/lumos_x_541_670_dcm/lumos_x_667/lumos_x_667_2.Dcm,1779,2622
/Users/Usuario/Code/master/tfm/res/dataset/lumos_x_541_670_dcm/lumos_x_658/lumos_x_658_1.Dcm,1686,2949
/Users/Usuario/Code/master/tfm/res/dataset/lumos_x_541_670_dcm/lumos_x_658/lumos_x_658_2.Dcm,1423,2950
/Users/Usuario/Code/master/tfm/res/dataset/lumos_x_541_670_dcm/lumos_x_660/lumos_x_660_1.Dcm,1609,2420
/Users/Usuario/Code/master/tfm/res/dataset/lumos_x_541_670_dcm/lumos_x_660/lumos_x_660_2.Dcm,2039,2651
/Users/Usuario/Code/master/tfm/res/dataset/lumos_x_541_670_dcm/lumos_x_634/lumos_x_634_1.Dcm,1756,3001
/Users/Usuario/Code/master/tfm/res/dataset/lumos_x_541_670_dcm/lumos_x_634/lumos_x_634_2.Dcm,1970,3001
/Users/Usuario/Code/master/tfm/res/dataset/lumos_x_541_670_dcm/lumos_x_633/lumos_x_633_1.Dcm,1792,2979
/Users/Usuario/Code/master/tfm/res/dataset/lumos_x_541_670_dcm/lumos_x_633/lumos_x_633_2.Dcm,1789,3001
/Users/Usuario/Code/master/tfm/res/dataset/lumos_x_541_670_dcm/lumos_x_605/lumos_x_605_1.Dcm,1668,2482
/Users/Usuario/Code/master/tfm/res/dataset/lumos_x_541_670_dcm/lumos_x_605/lumos_x_605_2.Dcm,2281,2968
/Users/Usuario/Code/master/tfm/res/dataset/lumos_x_541_670_dcm/lumos_x_602/lumos_x_602_1.Dcm,1713,2973
/Users/Usuario/Code/master/tfm/res/dataset/lumos_x_541_670_dcm/lumos_x_602/lumos_x_602_2.Dcm,2065,2979
/Users/Usuario/Code/master/tfm/res/dataset/lumos_x_541_670_dcm/lumos_x_661/lumos_x_661_1.Dcm,1669,2946
/Users/Usuario/Code/master/tfm/res/dataset/lumos_x_541_670_dcm/lumos_x_661/lumos_x_661_2.Dcm,1677,2941
/Users/Usuario/Code/master/tfm/res/dataset/lumos_x_541_670_dcm/lumos_x_666/lumos_x_666_1.Dcm,1414,2971
/Users/Usuario/Code/master/tfm/res/dataset/lumos_x_541_670_dcm/lumos_x_666/lumos_x_666_2.Dcm,1730,2964
/Users/Usuario/Code/master/tfm/res/dataset/lumos_x_541_670_dcm/lumos_x_659/lumos_x_659_1.Dcm,1728,2972
/Users/Usuario/Code/master/tfm/res/dataset/lumos_x_541_670_dcm/lumos_x_659/lumos_x_659_2.Dcm,1716,2984
/Users/Usuario/Code/master/tfm/res/dataset/lumos_x_541_670_dcm/lumos_x_650/lumos_x_650_1.Dcm,1640,2872
/Users/Usuario/Code/master/tfm/res/dataset/lumos_x_541_670_dcm/lumos_x_650/lumos_x_650_2.Dcm,1715,2871
/Users/Usuario/Code/master/tfm/res/dataset/lumos_x_541_670_dcm/lumos_x_657/lumos_x_657_1.Dcm,1740,2794
/Users/Usuario/Code/master/tfm/res/dataset/lumos_x_541_670_dcm/lumos_x_657/lumos_x_657_2.Dcm,2577,3001
/Users/Usuario/Code/master/tfm/res/dataset/lumos_x_541_670_dcm/lumos_x_668/lumos_x_668_1.Dcm,1779,2981
/Users/Usuario/Code/master/tfm/res/dataset/lumos_x_541_670_dcm/lumos_x_668/lumos_x_668_2.Dcm,1920,2988
/Users/Usuario/Code/master/tfm/res/dataset/lumos_x_541_670_dcm/lumos_x_603/lumos_x_603_1.Dcm,1503,2598
/Users/Usuario/Code/master/tfm/res/dataset/lumos_x_541_670_dcm/lumos_x_603/lumos_x_603_2.Dcm,1438,2372
/Users/Usuario/Code/master/tfm/res/dataset/lumos_x_541_670_dcm/lumos_x_604/lumos_x_604_1.Dcm,1615,3320
/Users/Usuario/Code/master/tfm/res/dataset/lumos_x_541_670_dcm/lumos_x_604/lumos_x_604_2.Dcm,2301,3320
/Users/Usuario/Code/master/tfm/res/dataset/lumos_x_541_670_dcm/lumos_x_632/lumos_x_632_1.Dcm,1739,2678
/Users/Usuario/Code/master/tfm/res/dataset/lumos_x_541_670_dcm/lumos_x_632/lumos_x_632_2.Dcm,2000,2694
/Users/Usuario/Code/master/tfm/res/dataset/lumos_x_541_670_dcm/lumos_x_635/lumos_x_635_1.Dcm,1950,2985
/Users/Usuario/Code/master/tfm/res/dataset/lumos_x_541_670_dcm/lumos_x_635/lumos_x_635_2.Dcm,2009,2978
/Users/Usuario/Code/master/tfm/res/dataset/lumos_x_541_670_dcm/lumos_x_581/lumos_x_581_1.Dcm,1616,2858
/Users/Usuario/Code/master/tfm/res/dataset/lumos_x_541_670_dcm/lumos_x_581/lumos_x_581_2.Dcm,2206,2954
/Users/Usuario/Code/master/tfm/res/dataset/lumos_x_541_670_dcm/lumos_x_575/lumos_x_575_1.Dcm,1290,2776
/Users/Usuario/Code/master/tfm/res/dataset/lumos_x_541_670_dcm/lumos_x_575/lumos_x_575_2.Dcm,1328,2554
/Users/Usuario/Code/master/tfm/res/dataset/lumos_x_541_670_dcm/lumos_x_572/lumos_x_572_1.Dcm,1724,2992
/Users/Usuario/Code/master/tfm/res/dataset/lumos_x_541_670_dcm/lumos_x_572/lumos_x_572_2.Dcm,1739,2987
/Users/Usuario/Code/master/tfm/res/dataset/lumos_x_541_670_dcm/lumos_x_586/lumos_x_586_1.Dcm,1674,2951
/Users/Usuario/Code/master/tfm/res/dataset/lumos_x_541_670_dcm/lumos_x_586/lumos_x_586_2.Dcm,1673,2950
/Users/Usuario/Code/master/tfm/res/dataset/lumos_x_541_670_dcm/lumos_x_544/lumos_x_544_1.Dcm,1921,2876
/Users/Usuario/Code/master/tfm/res/dataset/lumos_x_541_670_dcm/lumos_x_544/lumos_x_544_2.Dcm,1934,2663
/Users/Usuario/Code/master/tfm/res/dataset/lumos_x_541_670_dcm/lumos_x_543/lumos_x_543_1.Dcm,1693,2986
/Users/Usuario/Code/master/tfm/res/dataset/lumos_x_541_670_dcm/lumos_x_543/lumos_x_543_2.Dcm,2035,2990
/Users/Usuario/Code/master/tfm/res/dataset/lumos_x_541_670_dcm/lumos_x_588/lumos_x_588_1.Dcm,1750,2981
/Users/Usuario/Code/master/tfm/res/dataset/lumos_x_541_670_dcm/lumos_x_588/lumos_x_588_2.Dcm,2070,2977
/Users/Usuario/Code/master/tfm/res/dataset/lumos_x_541_670_dcm/lumos_x_542/lumos_x_542_1.Dcm,1374,2327
/Users/Usuario/Code/master/tfm/res/dataset/lumos_x_541_670_dcm/lumos_x_542/lumos_x_542_2.Dcm,1725,2981
/Users/Usuario/Code/master/tfm/res/dataset/lumos_x_541_670_dcm/lumos_x_589/lumos_x_589_1.Dcm,2056,2887
/Users/Usuario/Code/master/tfm/res/dataset/lumos_x_541_670_dcm/lumos_x_589/lumos_x_589_2.Dcm,1714,2887
/Users/Usuario/Code/master/tfm/res/dataset/lumos_x_541_670_dcm/lumos_x_545/lumos_x_545_1.Dcm,1435,2485
/Users/Usuario/Code/master/tfm/res/dataset/lumos_x_541_670_dcm/lumos_x_545/lumos_x_545_2.Dcm,1659,2348
/Users/Usuario/Code/master/tfm/res/dataset/lumos_x_541_670_dcm/lumos_x_587/lumos_x_587_1.Dcm,1667,2956
/Users/Usuario/Code/master/tfm/res/dataset/lumos_x_541_670_dcm/lumos_x_587/lumos_x_587_2.Dcm,1667,2558
/Users/Usuario/Code/master/tfm/res/dataset/lumos_x_541_670_dcm/lumos_x_573/lumos_x_573_1.Dcm,1429,2359
/Users/Usuario/Code/master/tfm/res/dataset/lumos_x_541_670_dcm/lumos_x_573/lumos_x_573_2.Dcm,1497,2099
/Users/Usuario/Code/master/tfm/res/dataset/lumos_x_541_670_dcm/lumos_x_574/lumos_x_574_1.Dcm,1595,2978
/Users/Usuario/Code/master/tfm/res/dataset/lumos_x_541_670_dcm/lumos_x_574/lumos_x_574_2.Dcm,2266,3001
/Users/Usuario/Code/master/tfm/res/dataset/lumos_x_541_670_dcm/lumos_x_580/lumos_x_580_1.Dcm,1673,2989
/Users/Usuario/Code/master/tfm/res/dataset/lumos_x_541_670_dcm/lumos_x_580/lumos_x_580_2.Dcm,1760,2981
/Users/Usuario/Code/master/tfm/res/dataset/lumos_x_541_670_dcm/lumos_x_569/lumos_x_569_1.Dcm,1410,2268
/Users/Usuario/Code/master/tfm/res/dataset/lumos_x_541_670_dcm/lumos_x_569/lumos_x_569_2.Dcm,1686,2485
/Users/Usuario/Code/master/tfm/res/dataset/lumos_x_541_670_dcm/lumos_x_556/lumos_x_556_1.Dcm,1776,2703
/Users/Usuario/Code/master/tfm/res/dataset/lumos_x_541_670_dcm/lumos_x_556/lumos_x_556_2.Dcm,2111,2677
/Users/Usuario/Code/master/tfm/res/dataset/lumos_x_541_670_dcm/lumos_x_551/lumos_x_551_1.Dcm,1704,2984
/Users/Usuario/Code/master/tfm/res/dataset/lumos_x_541_670_dcm/lumos_x_551/lumos_x_551_2.Dcm,1729,3001
/Users/Usuario/Code/master/tfm/res/dataset/lumos_x_541_670_dcm/lumos_x_558/lumos_x_558_1.Dcm,1472,2637
/Users/Usuario/Code/master/tfm/res/dataset/lumos_x_541_670_dcm/lumos_x_558/lumos_x_558_2.Dcm,1865,2763
/Users/Usuario/Code/master/tfm/res/dataset/lumos_x_541_670_dcm/lumos_x_593/lumos_x_593_1.Dcm,1863,2744
/Users/Usuario/Code/master/tfm/res/dataset/lumos_x_541_670_dcm/lumos_x_593/lumos_x_593_2.Dcm,1827,2570
/Users/Usuario/Code/master/tfm/res/dataset/lumos_x_541_670_dcm/lumos_x_567/lumos_x_567_1.Dcm,2002,3320
/Users/Usuario/Code/master/tfm/res/dataset/lumos_x_541_670_dcm/lumos_x_567/lumos_x_567_2.Dcm,2025,3320
/Users/Usuario/Code/master/tfm/res/dataset/lumos_x_541_670_dcm/lumos_x_560/lumos_x_560_1.Dcm,1850,2999
/Users/Usuario/Code/master/tfm/res/dataset/lumos_x_541_670_dcm/lumos_x_560/lumos_x_560_2.Dcm,1733,2661
/Users/Usuario/Code/master/tfm/res/dataset/lumos_x_541_670_dcm/lumos_x_594/lumos_x_594_1.Dcm,1794,3001
/Users/Usuario/Code/master/tfm/res/dataset/lumos_x_541_670_dcm/lumos_x_594/lumos_x_594_2.Dcm,2065,3001
/Users/Usuario/Code/master/tfm/res/dataset/lumos_x_541_670_dcm/lumos_x_595/lumos_x_595_1.Dcm,1773,3001
/Users/Usuario/Code/master/tfm/res/dataset/lumos_x_541_670_dcm/lumos_x_595/lumos_x_595_2.Dcm,1777,3001
/Users/Usuario/Code/master/tfm/res/dataset/lumos_x_541_670_dcm/lumos_x_561/lumos_x_561_1.Dcm,1714,2948
/Users/Usuario/Code/master/tfm/res/dataset/lumos_x_541_670_dcm/lumos_x_561/lumos_x_561_2.Dcm,1891,2945
/Users/Usuario/Code/master/tfm/res/dataset/lumos_x_541_670_dcm/lumos_x_559/lumos_x_559_1.Dcm,1390,2619
/Users/Usuario/Code/master/tfm/res/dataset/lumos_x_541_670_dcm/lumos_x_559/lumos_x_559_2.Dcm,1955,2578
/Users/Usuario/Code/master/tfm/res/dataset/lumos_x_541_670_dcm/lumos_x_566/lumos_x_566_1.Dcm,1882,2933
/Users/Usuario/Code/master/tfm/res/dataset/lumos_x_541_670_dcm/lumos_x_566/lumos_x_566_2.Dcm,2038,2943
/Users/Usuario/Code/master/tfm/res/dataset/lumos_x_541_670_dcm/lumos_x_592/lumos_x_592_1.Dcm,1942,3320
/Users/Usuario/Code/master/tfm/res/dataset/lumos_x_541_670_dcm/lumos_x_592/lumos_x_592_2.Dcm,1974,3320
/Users/Usuario/Code/master/tfm/res/dataset/lumos_x_541_670_dcm/lumos_x_550/lumos_x_550_1.Dcm,1960,2884
/Users/Usuario/Code/master/tfm/res/dataset/lumos_x_541_670_dcm/lumos_x_550/lumos_x_550_2.Dcm,1922,3320
/Users/Usuario/Code/master/tfm/res/dataset/lumos_x_541_670_dcm/lumos_x_568/lumos_x_568_1.Dcm,1744,2989
/Users/Usuario/Code/master/tfm/res/dataset/lumos_x_541_670_dcm/lumos_x_568/lumos_x_568_2.Dcm,1738,2978
/Users/Usuario/Code/master/tfm/res/dataset/lumos_x_541_670_dcm/lumos_x_557/lumos_x_557_1.Dcm,1912,3320
/Users/Usuario/Code/master/tfm/res/dataset/lumos_x_541_670_dcm/lumos_x_557/lumos_x_557_2.Dcm,1922,3320
/Users/Usuario/Code/master/tfm/res/dataset/lumos_x_541_670_dcm/lumos_x_617/lumos_x_617_1.Dcm,1734,2945
/Users/Usuario/Code/master/tfm/res/dataset/lumos_x_541_670_dcm/lumos_x_617/lumos_x_617_2.Dcm,2168,2943
/Users/Usuario/Code/master/tfm/res/dataset/lumos_x_541_670_dcm/lumos_x_628/lumos_x_628_1.Dcm,1797,2975
/Users/Usuario/Code/master/tfm/res/dataset/lumos_x_541_670_dcm/lumos_x_628/lumos_x_628_2.Dcm,2015,3001
/Users/Usuario/Code/master/tfm/res/dataset/lumos_x_541_670_dcm/lumos_x_610/lumos_x_610_1.Dcm,1698,2989
/Users/Usuario/Code/master/tfm/res/dataset/lumos_x_541_670_dcm/lumos_x_610/lumos_x_610_2.Dcm,1700,2978
/Users/Usuario/Code/master/tfm/res/dataset/lumos_x_541_670_dcm/lumos_x_626/lumos_x_626_1.Dcm,1757,2977
/Users/Usuario/Code/master/tfm/res/dataset/lumos_x_541_670_dcm/lumos_x_626/lumos_x_626_2.Dcm,1936,3001
/Users/Usuario/Code/master/tfm/res/dataset/lumos_x_541_670_dcm/lumos_x_619/lumos_x_619_1.Dcm,1901,3320
/Users/Usuario/Code/master/tfm/res/dataset/lumos_x_541_670_dcm/lumos_x_619/lumos_x_619_2.Dcm,2132,3320
/Users/Usuario/Code/master/tfm/res/dataset/lumos_x_541_670_dcm/lumos_x_621/lumos_x_621_1.Dcm,1676,2990
/Users/Usuario/Code/master/tfm/res/dataset/lumos_x_541_670_dcm/lumos_x_621/lumos_x_621_2.Dcm,1684,2993
/Users/Usuario/Code/master/tfm/res/dataset/lumos_x_541_670_dcm/lumos_x_644/lumos_x_644_1.Dcm,1603,2800
/Users/Usuario/Code/master/tfm/res/dataset/lumos_x_541_670_dcm/lumos_x_644/lumos_x_644_2.Dcm,1910,2864
